100,GM,35440
101,ZM,30205
102,PW,39788
103,EE,11679
104,IR,21978
105,IE,15959
106,KY,21986
107,IM,30461
108,KN,32668
109,US,22245
110,BB,37846
111,EE,35492
112,CC,48054
113,CZ,26309
114,LC,31386
115,CI,19868
116,AD,20979
117,ES,38598
118,NU,26231
119,TR,32898
120,GR,16182
121,AG,33987
122,JP,29286
123,BR,11883
124,IR,11295
125,BN,37660
126,CM,44583
127,JO,41771
128,HR,19884
129,CL,16616
130,BM,15234
131,BH,49097
132,CA,33471
133,CU,41904
134,NE,44089
135,ER,15052
136,IS,37963
137,SA,35317
138,BV,10599
139,GM,27696
140,GF,42198
141,NE,17451
142,NE,24364
143,SA,45266
144,GW,12207
145,SK,16808
146,PF,45813
147,GP,11870
148,TH,27655
149,PA,23751
150,NG,44224
151,DJ,35337
152,AO,25046
153,BI,35932
154,GD,37171
155,GQ,47134
156,PR,13418
157,AQ,44854
158,AQ,37607
159,SE,15684
160,SY,14977
161,PN,13875
162,IM,37356
163,TN,22171
164,OM,44048
165,IM,20564
166,MO,19977
167,GI,45411
168,AR,36972
169,GE,19874
170,VA,47947
171,NR,42462
172,CR,48754
173,AR,17121
174,CX,26651
175,CN,39712
176,ET,18228
177,PS,21171
178,NL,30213
179,SK,26425
180,HK,46253
181,PK,39742
182,IO,46468
183,HR,42926
184,TM,44296
185,DE,39601
186,PG,26274
187,LV,30135
188,IE,23922
189,JO,16274
190,HM,44592
191,LY,35427
192,DO,26925
193,CK,48274
194,HR,44052
195,AF,19262
196,FI,19510
197,KI,20770
198,IS,17269
199,TD,39294
200,TO,20606
201,BB,40374
202,NU,36931
203,BV,47810
204,BB,23990
205,BH,28932
206,UZ,37140
207,UM,32506
208,BG,12662
209,CK,16682
210,US,48256
211,UY,22739
212,AF,12447
213,JE,20376
214,NO,15347
215,AF,34077
216,AQ,13724
217,LV,13842
218,ET,19372
219,SK,32533
220,TF,37880
221,NR,39187
222,TJ,19199
223,EG,40972
224,CO,28456
225,HR,10944
226,HN,32901
227,MW,23701
228,UA,35197
229,HU,41618
230,CZ,42765
231,DE,20678
232,NG,27054
233,AT,46708
234,NG,30429
235,VU,17499
236,LR,23775
237,PS,31237
238,VU,29065
239,PY,27100
240,BY,13405
241,HR,35095
242,PR,17855
243,AI,40752
244,RE,21575
245,KH,16078
246,GS,38342
247,GS,22178
248,NR,17277
249,CY,24488
250,AN,38298
251,NP,42165
252,DO,31398
253,ZA,20404
254,KH,30060
255,MD,14546
256,BS,44043
257,CY,26405
258,GF,23232
259,SY,30710
260,CZ,24737
261,VU,12502
262,GD,16606
263,LU,34800
264,JP,40142
265,SC,25219
266,TJ,41693
267,GP,38937
268,CD,16452
269,LY,17118
270,ID,48777
271,QA,29855
272,GB,19447
273,NO,25175
274,NA,19535
275,SM,20784
276,BR,25741
277,LI,31601
278,FO,23569
279,CA,36487
280,MN,17401
281,PG,34209
282,GW,16127
283,UG,34739
284,MX,14736
285,CV,35727
286,DK,27418
287,AO,15785
288,KN,26188
289,CC,19700
290,OM,11088
291,CC,21320
292,AQ,27307
293,MX,41290
294,LI,29240
295,CR,24464
296,DK,20941
297,QA,37379
298,GP,34973
299,GE,29560
300,EE,27981
301,PR,40251
302,KE,13606
303,NA,23300
304,AE,24712
305,AF,32817
306,VC,27663
307,EE,28443
308,BA,49415
309,MA,30274
310,JE,13417
311,BM,28061
312,WF,15511
313,AL,32303
314,DJ,40036
315,IS,14135
316,LU,14501
317,HK,16400
318,AO,18323
319,EG,11002
320,TV,42498
321,TW,18317
322,FR,23930
323,IQ,19723
324,AT,10526
325,NI,23852
326,IE,26234
327,DE,27906
328,TN,34257
329,BA,42254
330,EH,17393
331,IE,37051
332,DO,33650
333,SE,34211
334,KH,11870
335,FM,10493
336,DM,43700
337,RO,49474
338,AI,46823
339,KW,33145
340,AO,21031
341,NI,45636
342,CZ,19630
343,AL,21570
344,UZ,46548
345,TM,21449
346,LK,34648
347,BM,41045
348,CG,45405
349,ZM,11867
350,AW,43364
351,BN,26622
352,TJ,33418
353,SR,17116
354,PY,48209
355,NZ,49901
356,RE,31815
357,IM,41578
358,GR,11420
359,AO,31838
360,SI,32922
361,NP,32544
362,AZ,15561
363,PT,29747
364,BT,39139
365,FO,31950
366,TV,35923
367,GP,44746
368,YT,24817
369,MZ,25998
370,MK,32251
371,HT,44741
372,KY,27304
373,SC,34844
374,BZ,32457
375,AX,46480
376,BN,13340
377,BT,32821
378,AO,43487
379,SG,49030
380,GM,26264
381,MM,47318
382,VE,49180
383,FK,38148
384,SR,10072
385,CU,15825
386,BD,43241
387,PW,12346
388,FR,30414
389,IS,27394
390,PY,18826
391,VN,21572
392,WF,27334
393,PL,21940
394,PT,21854
395,KI,10656
396,FM,31935
397,CK,17881
398,TV,18349
399,UZ,35777
400,ZM,39076
401,YT,48387
402,IS,10943
403,SG,23190
404,MS,20416
405,HN,17209
406,IS,22031
407,SB,36714
408,NL,29481
409,FI,21558
410,RU,36529
411,AT,28671
412,NR,29440
413,GQ,33079
414,VA,36913
415,JP,25694
416,RW,11178
417,BZ,43243
418,AD,19569
419,SY,48524
420,HR,38118
421,KM,32690
422,CN,25302
423,PA,18548
424,VG,38726
425,NO,47313
426,JM,36363
427,AE,42527
428,YE,31158
429,SE,39880
430,BT,33251
431,TD,37207
432,GM,26159
433,ID,25302
434,BT,23628
435,BE,45491
436,BO,42359
437,SC,30931
438,CH,14287
439,LU,45498
440,GT,34910
441,GF,28092
442,UA,35267
443,RE,11398
444,UA,12532
445,BG,49842
446,MD,27139
447,TH,38360
448,HU,33656
449,TC,47973
450,BI,15793
451,FR,49447
452,TT,15351
453,VN,32219
454,IO,35268
455,PF,48138
456,JE,27759
457,IS,31190
458,NE,28192
459,UM,44609
460,CL,43489
461,WF,27342
462,NC,38067
463,UG,23308
464,PN,28829
465,BM,46669
466,AI,34147
467,BR,20511
468,LR,23487
469,GM,18754
470,TM,21962
471,CC,21196
472,MQ,10650
473,RW,45733
474,JM,29278
475,CC,17383
476,BF,49741
477,KR,19640
478,LC,18046
479,SL,33848
480,NU,43488
481,IL,25776
482,NZ,19935
483,PF,34792
484,GW,25979
485,ER,26718
486,SM,19124
487,EC,42145
488,GF,27067
489,AM,33434
490,GL,11759
491,MD,40083
492,SZ,45440
493,KH,33950
494,MD,35428
495,IM,23870
496,SY,27621
497,TW,35937
498,PG,37513
499,GW,44136
500,RE,49382
501,LY,44435
502,NA,31970
503,GN,20532
504,MD,23010
505,PA,42916
506,CZ,26077
507,CD,25072
508,GR,33134
509,IL,37942
510,FM,26612
511,VN,14904
512,GD,24915
513,GE,36009
514,KH,28005
515,CO,35505
516,AM,19518
517,RW,35608
518,LB,44527
519,ZW,35376
520,GL,10150
521,GU,30000
522,GL,31044
523,PA,15801
524,PS,31863
525,BA,36485
526,SI,25536
527,LI,34536
528,PT,33221
529,KP,45604
